,timestamp,open,high,low,close,volume
0,2019-04-30 16:00:00,180.69,181.2,180.58,181.09,433898
1,2019-04-30 15:55:00,180.8,180.88,180.5,180.68,128099
2,2019-04-30 15:50:00,180.72,180.85,180.59,180.82,127573
3,2019-04-30 15:45:00,181.09,181.11,180.62,180.72,104378
4,2019-04-30 15:40:00,181.32,181.34,181.0,181.09,82144
5,2019-04-30 15:35:00,181.16,181.34,181.1,181.31,50796
6,2019-04-30 15:30:00,181.2901,181.34,181.06,181.16,64776
7,2019-04-30 15:25:00,181.15,181.39,181.0692,181.31,85198
8,2019-04-30 15:20:00,180.94,181.16,180.8483,181.16,49313
9,2019-04-30 15:15:00,180.99,181.04,180.815,180.93,51975
10,2019-04-30 15:10:00,180.76,181.07,180.69,181.01,74534
11,2019-04-30 15:05:00,180.825,180.85,180.595,180.779,70071
12,2019-04-30 15:00:00,180.94,181.02,180.8,180.84,103311
13,2019-04-30 14:55:00,181.41,181.56,180.95,180.9616,81253
14,2019-04-30 14:50:00,181.37,181.5549,181.35,181.41,44569
15,2019-04-30 14:45:00,181.54,181.58,181.36,181.36,52326
16,2019-04-30 14:40:00,181.45,181.53,181.24,181.507,52913
17,2019-04-30 14:35:00,181.47,181.5396,181.23,181.42,92958
18,2019-04-30 14:30:00,181.6205,181.625,181.36,181.45,95233
19,2019-04-30 14:25:00,181.85,182.03,181.6538,181.66,91459
20,2019-04-30 14:20:00,181.76,181.9,181.67,181.86,46551
21,2019-04-30 14:15:00,181.71,181.91,181.62,181.79,49378
22,2019-04-30 14:10:00,181.76,181.88,181.6142,181.71,78905
23,2019-04-30 14:05:00,181.6199,181.76,181.51,181.72,168905
24,2019-04-30 14:00:00,181.17,181.66,181.1627,181.61,142445
25,2019-04-30 13:55:00,181.3468,181.38,181.15,181.17,62697
26,2019-04-30 13:50:00,181.0,181.37,180.94,181.3654,113444
27,2019-04-30 13:45:00,180.8,181.1,180.74,181.02,52855
28,2019-04-30 13:40:00,180.84,180.93,180.7401,180.83,44280
29,2019-04-30 13:35:00,180.74,180.89,180.72,180.78,52840
30,2019-04-30 13:30:00,180.93,181.02,180.72,180.74,38313
31,2019-04-30 13:25:00,181.02,181.03,180.74,180.92,43486
32,2019-04-30 13:20:00,180.98,181.16,180.95,180.991,39564
33,2019-04-30 13:15:00,180.8,181.1,180.79,180.96,48097
34,2019-04-30 13:10:00,180.87,180.94,180.6774,180.7885,42845
35,2019-04-30 13:05:00,180.58,180.9,180.58,180.86,59444
36,2019-04-30 13:00:00,180.39,180.59,180.31,180.57,66718
37,2019-04-30 12:55:00,180.31,180.47,180.16,180.3664,65796
38,2019-04-30 12:50:00,180.7115,180.78,180.29,180.33,59284
39,2019-04-30 12:45:00,180.595,180.97,180.595,180.704,60590
40,2019-04-30 12:40:00,180.56,180.66,180.44,180.61,63681
41,2019-04-30 12:35:00,180.93,180.98,180.54,180.58,80001
42,2019-04-30 12:30:00,181.07,181.09,180.82,180.92,41572
43,2019-04-30 12:25:00,181.11,181.18,180.91,181.1055,99926
44,2019-04-30 12:20:00,181.04,181.38,181.04,181.0816,199699
45,2019-04-30 12:15:00,180.45,181.04,180.39,181.0175,122501
46,2019-04-30 12:10:00,180.33,180.535,180.31,180.48,40499
47,2019-04-30 12:05:00,180.52,180.6,180.31,180.315,55895
48,2019-04-30 12:00:00,180.67,180.79,180.45,180.47,41378
49,2019-04-30 11:55:00,180.647,180.71,180.56,180.66,45282
50,2019-04-30 11:50:00,180.38,180.67,180.31,180.6338,63514
